file_path,description_length,description_text
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/overview.adoc,123,"This guide shows you how to quickly get MLM up and running in a public cloud environment, including BYOS and PAYG services."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/public-cloud-faq.adoc,122,"A starting point for accessing information on MLM PAYG on the Cloud, covering key topics and their billing considerations."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/hub-multi-server.adoc,153,Managing large scale deployments involves understanding how to use Inter-Server Synchronization (ISS) or an MLM Hub with a Server and peripheral Servers.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/operation-reqs.adoc,160,"Guidance on optimizing Client setup, security, and performance in large-scale environments, allowing for smoother monitoring and maintenance of your deployment."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/monitoring.adoc,123,You can configure Server and Proxy to provide self-health metrics for large scale deployments using Prometheus and Grafana.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/hub-install.adoc,148,"You can deploy a hub environment with third party or self-generated certificates for secure communication between Server, Proxy, and Client systems."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/retail-large-scale.adoc,143,Manage large-scale Retail with MLM for Retail's customized infrastructure management solution for point-of-service terminals and other devices.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/iss_v2.adoc,156,Configure Inter-Server Synchronization to export data from one Server (hub) and import it on another Server (peripheral) for synchronized MLM installations.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/hub-auth.adoc,137,"Learn how to authenticate with the Hub XMLRPC API using manual, relay, or auto-connect modes through examples and step-by-step workflows."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/hub-online-sync.adoc,122,"Understand how to register hub and peripheral servers, generate access tokens, and synchronize data between them securely."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/hardware-reqs.adoc,127,This page helps you determine Server and Proxy hardware requirements for large scale deployments to ensure optimal performance.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/hub-reporting.adoc,125,You will learn how to create a read-only database user for external reporting tools using the `-setup-reportdb-user` command.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/overview.adoc,140,"An overview of managing large-scale deployments with MLM, including considerations for hardware sizing, parameter tuning, and configuration."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/hub-namespaces.adoc,160,"An overview of Hub XMLRPC API Namespaces, including the hub , unicast , and multicast namespaces used to target specific servers or groups in a Hub environment."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/single-server.adoc,141,"Configure an Server to efficiently manage multiple clients by following these recommendations on hardware, networking, and tuning parameters."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/hub-api.adoc,100,Learn how to connect to the Hub XMLRPC API using any XMLRPC-compliant Client libraries at port 2830.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/large-deployments/tuning.adoc,153,The Tuning Process guides you through adjusting configuration parameters to optimize MLM performance based on your installation's specific environmental.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/byos/setup.adoc,160,"This guide helps you quickly set up and configure your Server or Proxy in a public cloud environment using BYOS services from providers like Amazon EC2, Google."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/byos/clients.adoc,156,This page serves as a starting point for accessing Client registration instructions and additional resources for using Server and Proxy in the public cloud.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/byos/byos-overview.adoc,157,"Create BYOS instances that leverage your existing support contract, allowing you to manage workloads in the public cloud and utilize extensions such as LTSS."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/troubleshooting/tshoot-public-cloud-intro.adoc,103,Learn common solutions to resolving problems you might encounter with MLM in Public Cloud environments.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/troubleshooting/tshoot-public-cloud-payg-checks.adoc,131,Troubleshooting PAYG checks for your Retail Server helps resolve issues with public cloud access and ensures seamless connectivity.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/troubleshooting/tshoot-public-cloud-configure-payg-behind-proxy.adoc,129,Configure Pay-as-you-go in public cloud environments behind a Proxy by identifying and preserving relevant environment variables.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/troubleshooting/tshoot-public-cloud-setup-separate-disk-byos.adoc,156,"To resolve or avoid this issue, copy the underlying data into the new partitions by following the steps to create a backup and transfer the necessary files."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/payg-limitations.adoc,120,Understanding restrictions on managing BYOS instances in MLM PAYG requires valid SCC credentials for full functionality.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/payg-overview.adoc,138,"Users can leverage the images of MLM on a Pay-as-you-go basis, paying only for time and resources used, with cost savings and flexibility."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/faq/faq-billing-products.adoc,150,Understand the key differences between the MLM PAYG product on cloud marketplaces and versions run in your own data center to make informed decisions.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/faq/faq-miscellaneous.adoc,120,"Access detailed information on Cloud Marketplace listings for MLM, including deployment guidance and training resources."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/faq/faq-listings.adoc,102,Deploying MLM PAYG to your cloud environment enables monthly billing via the cloud provider's invoice.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/faq/faq-billing-technical.adoc,109,Understand the billing process for cloud marketplaces and deployment mechanisms for MLM PAYG with this guide.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/faq/faq-appendix.adoc,133,This page serves as a starting point for accessing information on countries that can transact MLM PAYG through the cloud marketplace.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/faq/faq-billing-general.adoc,143,Information on using managed instances with PAYG pricing in the cloud for SLES for SAP deployments procured through the provider's marketplace.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/azure/payg-azure-server-setup.adoc,132,"Configure network settings to align with Azure's reverse DNS lookup for private IP addresses, ensuring accurate hostname resolution."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/azure/payg-azure-public-cloud-images.adoc,157,Learn how to obtain the Server PAYG Public Cloud Image on Microsoft Azure by following these step-by-step instructions to locate and purchase it through the.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/azure/payg-azure-configure-the-image.adoc,108,Configure your MLM instance for successful deployment in Microsoft Azure by following these essential steps.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/azure/payg-azure-requirements.adoc,151,Here's the meta description Learn about the specific instance requirements and resource group configurations needed for a Managed Application in Azure.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/azure/payg-azure-webui-configuration.adoc,116,"To access MLM PAYG Web UI setup information, navigate to menu options for login, configuration, and troubleshooting."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/aws/payg-aws-connections-and-bootstrapping.adoc,122,"Learn how to establish and manage connections between PAYG clients, register images, and start additional products in AWS."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/aws/payg-aws-webui-configuration.adoc,141,"Configuring PAYG Web UI requires MLM to be setup and running on AWS, with a properly configured instance-flavor-check tool and schedule task."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/aws/payg-aws-requirements.adoc,122,"When setting up an MLM PAYG instance on AWS, ensure your system meets these tailored requirements for optimal performance."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/aws/payg-aws-public-cloud-images.adoc,124,Follow these step-by-step instructions to obtain and launch the Server PAYG Public Cloud Image on Amazon Web Services (AWS).
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg/aws/payg-aws-server-setup.adoc,121,"To configure storage for your system, use the `mgr-storage-Server` tool to create container storage and database volumes."
/home/linux/work/uyuni-docs/modules/reference/pages/cli-bootstrap.adoc,133,You can create a new bootstrap repository on the Server using the mgr-create-bootstrap-repo command to centralize package management.
/home/linux/work/uyuni-docs/modules/reference/pages/cli-channels.adoc,138,Learn how to manage channels on a Server using the `spacewalk-remove-channel` tool with various options for listing and deleting channels.
/home/linux/work/uyuni-docs/modules/reference/pages/reference-overview.adoc,133,"A comprehensive guide to MLM components and tools for administrators, including Web UI Reference and spacecmd command-line interface."
/home/linux/work/uyuni-docs/modules/reference/pages/command-line-tools.adoc,118,You can access MLM features from a command prompt using CLI tools installed on your Server or Client operating system.
/home/linux/work/uyuni-docs/modules/reference/pages/uyuni-reference-overview.adoc,127,"A comprehensive reference to MLM, including web UI navigation and command-line interfaces for streamlined administrative tasks."
/home/linux/work/uyuni-docs/modules/reference/pages/spacecmd-intro.adoc,132,"This reference guides you in mastering the spacecmd CLI, a powerful tool for managing MLM servers and systems from the command line."
/home/linux/work/uyuni-docs/modules/reference/pages/cli-sync.adoc,129,"Use these CLI tools to synchronize clients with the Server, manage channels, and troubleshoot synchronization issues effectively."
/home/linux/work/uyuni-docs/modules/reference/pages/cli-smdba.adoc,138,"Manage your PostgreSQL database with smdba, allowing you to backup and restore databases, as well as perform various administration tasks."
/home/linux/work/uyuni-docs/modules/reference/pages/software/software-channel-list-menu.adoc,132,You can view and manage software channels and packages on your clients to stay up-to-date with available updates and configurations.
/home/linux/work/uyuni-docs/modules/reference/pages/software/software-package-search.adoc,121,"Search for packages using various criteria to find specific matches based on name, description, version, or architecture."
/home/linux/work/uyuni-docs/modules/reference/pages/software/software-menu.adoc,149,"This page serves as a starting point for accessing various software-related topics, including managing software channels, repositories, and packages."
/home/linux/work/uyuni-docs/modules/reference/pages/software/manage-channels.adoc,110,You can manage custom software channels to create and clone new channels with various patch inclusion options.
/home/linux/work/uyuni-docs/modules/reference/pages/software/manage-repositories.adoc,122,Manage custom or third-party package repositories and link them to existing channels for added flexibility in your system.
/home/linux/work/uyuni-docs/modules/reference/pages/software/software-distribution-channel-mapping.adoc,152,Learn how to define default base channels for clients and configure distribution channel mappings according to Client architecture and operating system.
/home/linux/work/uyuni-docs/modules/reference/pages/software/manage-packages.adoc,140,Manage packages related to your organization's software channels and delete orphaned or unnecessary packages with administration privileges.
/home/linux/work/uyuni-docs/modules/reference/pages/software/channel-details.adoc,158,"This page serves as a starting point for accessing details about software channels, including managers, patches, packages, subscribed systems, target systems."
/home/linux/work/uyuni-docs/modules/reference/pages/software/software-manage-menu.adoc,106,"You can manage custom channels, packages, and repositories using the Software[Manage] section of the menu."
/home/linux/work/uyuni-docs/modules/reference/pages/salt/salt-remote-commands.adoc,121,"Use remote commands to perform actions on one or more of your Salt Clients, such as issuing commands to specific devices."
/home/linux/work/uyuni-docs/modules/reference/pages/salt/salt-formula-catalog.adoc,110,Accessing and managing Salt formulas for your Server and clients is explained in this Formula Catalog section.
/home/linux/work/uyuni-docs/modules/reference/pages/salt/salt-keys.adoc,142,The Salt Keys page displays the current key fingerprints for all connected Salt clients and facilitates identity verification with the Server.
/home/linux/work/uyuni-docs/modules/reference/pages/salt/salt-menu.adoc,121,The Salt Menu provides details of your Salt clients and enables you to perform remote commands or define a state catalog.
/home/linux/work/uyuni-docs/modules/reference/pages/configuration/config-channels.adoc,115,Manage configuration channels and files to deploy custom Salt states to multiple systems via state channels in MLM.
/home/linux/work/uyuni-docs/modules/reference/pages/configuration/config-files-menu.adoc,138,Manage your configuration files independently with guidance on size limitations and editing default variables in various system locations.
/home/linux/work/uyuni-docs/modules/reference/pages/configuration/config-overview.adoc,137,"This page serves as a starting point to view and manage configuration files, channels, and Client systems in your MLM organization setup."
/home/linux/work/uyuni-docs/modules/reference/pages/configuration/config-menu.adoc,121,You can manage Client configurations and access centrally managed or locally stored files through the Configuration menu.
/home/linux/work/uyuni-docs/modules/reference/pages/configuration/config-systems-managed.adoc,157,"View system details for configuration file deployment, manage local override files, and unsubscribe from configuration channels on centrally managed systems."
/home/linux/work/uyuni-docs/modules/reference/pages/configuration/files-locally-managed.adoc,127,Locally managed configuration files have higher priority than centrally managed files and can be deployed directly on a system.
/home/linux/work/uyuni-docs/modules/reference/pages/configuration/config-systems-target.adoc,148,This page serves as a starting point for identifying systems that require manual preparation for configuration file deployment or subscription to a.
/home/linux/work/uyuni-docs/modules/reference/pages/images/images-build.adoc,106,Learn how to build operating system images for installing on clients using the menu Images[Build] section.
/home/linux/work/uyuni-docs/modules/reference/pages/images/images-profiles.adoc,140,"This page serves as a starting point for managing your image profiles, allowing you to create, update, and delete multiple profiles at once."
/home/linux/work/uyuni-docs/modules/reference/pages/images/images-menu.adoc,136,This page serves as a starting point for accessing documentation related to image management on your Server or Client operating systems.
/home/linux/work/uyuni-docs/modules/reference/pages/images/images-image-list.adoc,145,"This page serves as a starting point for accessing your current operating system images, importing new Docker images, and managing existing ones."
/home/linux/work/uyuni-docs/modules/reference/pages/home/home-overview.adoc,144,"A dashboard view of your current MLM status, summarizing key information for managing tasks and clients, as well as monitoring security updates."
/home/linux/work/uyuni-docs/modules/reference/pages/home/home-my-preferences.adoc,121,"Configure your MLM Web UI options and settings, including email notifications and interface language, to suit your needs."
/home/linux/work/uyuni-docs/modules/reference/pages/home/home-menu.adoc,126,"The home menu provides a comprehensive overview of your MLM status, including tasks, Client information, and security updates."
/home/linux/work/uyuni-docs/modules/reference/pages/home/user-account-my-account.adoc,140,"Modify your user account preferences, including personal information, by making changes in the text fields on this page and clicking Update."
/home/linux/work/uyuni-docs/modules/reference/pages/home/my-organization-trusts.adoc,126,Understand how your organization's trusts are configured and which channels are available to other users through those trusts.
/home/linux/work/uyuni-docs/modules/reference/pages/home/home-notification-messages.adoc,111,Navigate to the Notification Messages section to view current messages produced by MLM and manage their status.
/home/linux/work/uyuni-docs/modules/reference/pages/home/my-organization-configuration.adoc,130,"You can configure your organization's settings for content staging, errata email notifications, and SCAP auditing in this section."
/home/linux/work/uyuni-docs/modules/reference/pages/home/user-account-addresses.adoc,139,"Set up and manage your mailing, billing, and shipping addresses, as well as associated phone numbers for your user account in this section."
/home/linux/work/uyuni-docs/modules/reference/pages/home/user-account-account-deactivation.adoc,125,"Deactivating your MLM user account will cancel access to the system, delete the account, and prevent future sign-in attempts."
/home/linux/work/uyuni-docs/modules/reference/pages/clm/clm-filters.adoc,157,Here is a meta description for the provided AsciiDoc page content Create various types of filters to control the content used in a content lifecycle project.
/home/linux/work/uyuni-docs/modules/reference/pages/clm/clm-menu.adoc,144,Content lifecycle management enables you to customize software channels and thoroughly test them before installing onto your production clients.
/home/linux/work/uyuni-docs/modules/reference/pages/clm/clm-projects.adoc,139,Create and manage content lifecycle management projects using this starting point for accessing project creation and editing functionality.
/home/linux/work/uyuni-docs/modules/reference/pages/admin/monitoring.adoc,124,Enabling MLM monitoring with Prometheus through the Manager Configuration > Monitoring section is described in this article.
/home/linux/work/uyuni-docs/modules/reference/pages/admin/manager-configuration.adoc,152,"Configure your MLM installation, manage organizations and users, and enable Server monitoring through various tabs in the Manager Configuration section."
/home/linux/work/uyuni-docs/modules/reference/pages/admin/cobbler.adoc,109,Configure and run Cobbler synchronization to repair or rebuild directory contents after manual modifications.
/home/linux/work/uyuni-docs/modules/reference/pages/admin/task-schedules.adoc,136,"Understanding task schedules is crucial for managing MLM tasks efficiently, including setting correct frequencies and activation status."
/home/linux/work/uyuni-docs/modules/reference/pages/admin/restart.adoc,128,Restarting the MLM allows you to make new configuration changes effective and ensures its availability resumes after completion.
/home/linux/work/uyuni-docs/modules/reference/pages/admin/admin-menu.adoc,149,"Accessing the Admin menu allows administrators to manage MLM configuration features, including creating and managing organizations, users, and tasks."
/home/linux/work/uyuni-docs/modules/reference/pages/admin/task-engine-status.adoc,134,Understand Task Engine Status by navigating to the Last Execution Times tab to view task lists with last run times and current status.
/home/linux/work/uyuni-docs/modules/reference/pages/admin/bootstrap-script.adoc,147,"To register clients with MLM, you need to configure a custom bootstrap script on your Server and provide specific options for Client configuration."
/home/linux/work/uyuni-docs/modules/reference/pages/admin/manager-config-organizations.adoc,124,This page serves as a starting point for configuring organizations and managing related user accounts within your MLM setup.
/home/linux/work/uyuni-docs/modules/reference/pages/admin/setup-wizard.adoc,136,Configure MLM's connection to Customer Center and manage your organization's credentials and products through a series of setup options.
/home/linux/work/uyuni-docs/modules/reference/pages/admin/show-tomcat-logs.adoc,132,Viewing and accessing the Apache Tomcat log file from the Admin interface or command prompt is essential for troubleshooting issues.
/home/linux/work/uyuni-docs/modules/reference/pages/admin/organizations.adoc,104,Learn how to create and manage your MLM organizations using the Organizations section in the Admin menu.
/home/linux/work/uyuni-docs/modules/reference/pages/admin/users.adoc,117,"View and manage all users of your organization to modify their details, roles, or MLM Administrator status as needed."
/home/linux/work/uyuni-docs/modules/reference/pages/admin/general.adoc,124,"Configure your Server by setting administrator email address, hostname, HTTP Proxy settings, and other options on this page."
/home/linux/work/uyuni-docs/modules/reference/pages/patches/patches-advanced-search.adoc,118,Use advanced criteria to search for patches by specific fields or types in the Patches menu's Advanced Search section.
/home/linux/work/uyuni-docs/modules/reference/pages/patches/clone-patches.adoc,116,Distribute cloned patches to your clients by creating copies of existing patches from one of your software channels.
/home/linux/work/uyuni-docs/modules/reference/pages/patches/patch-details.adoc,160,"This page is a starting point for accessing detailed information about patches, including affected systems, packages, and vendor advisories, to help you manage."
/home/linux/work/uyuni-docs/modules/reference/pages/patches/patch-list-relevant.adoc,121,View a list of all relevant patches released by that apply to your installed clients along with their status and details.
/home/linux/work/uyuni-docs/modules/reference/pages/patches/patches-menu.adoc,139,The Patches Menu helps you find and manage available patches for your clients to ensure they are up-to-date with the latest security fixes.
/home/linux/work/uyuni-docs/modules/reference/pages/patches/patch-list-all.adoc,132,"This page is a starting point for accessing all patches released by , including details on affected clients and recommended actions."
/home/linux/work/uyuni-docs/modules/reference/pages/patches/manage-patches.adoc,106,"Manage custom patches in your Patches section, viewing details and creating or deleting patches as needed."
/home/linux/work/uyuni-docs/modules/reference/pages/audit/audit-subscription-matching.adoc,138,Use this page as a starting point to view reports that match your clients to existing product subscriptions and identify potential issues.
/home/linux/work/uyuni-docs/modules/reference/pages/audit/audit-menu.adoc,131,This page serves as a starting point for accessing features to manage security updates on your clients through various audit tasks.
/home/linux/work/uyuni-docs/modules/reference/pages/audit/openscap-all-scans.adoc,122,"You can view detailed results of performed OpenSCAP scans on your clients, including evaluation details and rule statuses."
/home/linux/work/uyuni-docs/modules/reference/pages/audit/audit-openscap-overview.adoc,149,Understand how OpenSCAP implements Security Certification and Authorization Package (SCAP) specifications for enterprise-level Linux infrastructures.
/home/linux/work/uyuni-docs/modules/reference/pages/audit/openscap-advanced-search.adoc,115,Navigate advanced OpenSCAP search features to find specific scan results and improve compliance auditing processes.
/home/linux/work/uyuni-docs/modules/reference/pages/audit/audit-cve-audit.adoc,103,Learn how to identify and address security vulnerabilities on your clients using the CVE Audit feature.
/home/linux/work/uyuni-docs/modules/reference/pages/users/users-menu.adoc,122,Use the Users menu to grant and edit permissions for system administrators by creating new users and editing user details.
/home/linux/work/uyuni-docs/modules/reference/pages/users/active-users.adoc,141,"Get an overview of all active users in your Server, including username, real name, roles, and last sign-in date for user management purposes."
/home/linux/work/uyuni-docs/modules/reference/pages/users/user-details.adoc,134,"Learn how to manage user permissions, access levels, and configuration settings for clients in various operating systems such as and ."
/home/linux/work/uyuni-docs/modules/reference/pages/users/users-list.adoc,130,"This page serves as a starting point for accessing user lists, providing easy navigation to manage your user database efficiently."
/home/linux/work/uyuni-docs/modules/reference/pages/users/all-users.adoc,138,Viewing all activated and deactivated Server users allows you to manage user accounts and access detailed information for each individual.
/home/linux/work/uyuni-docs/modules/reference/pages/users/deactivated-users.adoc,144,This page helps you manage deactivated users in your Server by listing their details and providing options to reactivate or create new accounts.
/home/linux/work/uyuni-docs/modules/reference/pages/users/system-group-configuration.adoc,123,"Configure system groups to grant permissions to a group of users instead of individual users, facilitating user management."
/home/linux/work/uyuni-docs/modules/reference/pages/help/documentation-version.adoc,106,This Server documentation provides access to version-specific information for managing Retail efficiently.
/home/linux/work/uyuni-docs/modules/reference/pages/help/release-notes.adoc,115,Access the current version of the MLM Release Notes for the latest information on supported features and bug fixes.
/home/linux/work/uyuni-docs/modules/reference/pages/help/help-menu.adoc,125,Access MLM documentation installed locally on your Server or view it online at https documentation..com multi-linux-manager .
/home/linux/work/uyuni-docs/modules/reference/pages/help/api-faq.adoc,127,A collection of frequently asked questions and answers about Multi-Linux Manager APIs for Server administrators and developers.
